amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,beta,max_drawdown_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_er,rank_maxdd,raw_score,composite_score,final_rank
120841,Kotak Bluechip Fund - Regular - Growth,17.27,0.4943,13.0429,0.0364,-17.57,1.59,0.475,0.425,0.4,0.15,0.425,0.39375,34.84,28
118634,Nippon India Small Cap Fund - Regular - Growth,8.01,0.4484,17.5007,0.1035,-23.34,1.53,0.35,0.375,0.575,0.3125,0.225,0.383125,33.36,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.06,-0.3566,5.0748,0.0013,-8.32,0.55,0.2,0.075,0.15,1.0,0.875,0.34625,28.24,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.84,-0.2266,5.6209,-0.0064,-4.33,0.77,0.225,0.1,0.175,0.8,0.9,0.3375,27.02,31
101208,ABSL Liquid Fund - Regular - Growth,6.32,-0.8156,6.0861,0.0003,-0.16,0.79,0.25,0.025,0.2,0.75,0.95,0.32875,25.8,32
100025,HDFC Short Term Debt Fund - Regular - Growth,3.92,-0.5671,4.2818,0.0012,-4.31,0.56,0.175,0.05,0.075,0.975,0.925,0.31875000000000003,24.41,33
120842,Kotak Emerging Equity Fund - Regular - Growth,7.76,0.076,7.8044,0.0181,-24.0,1.56,0.325,0.275,0.3,0.2,0.2,0.27625,18.51,34
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.34,-0.0572,4.8824,0.062,-52.57,0.72,0.075,0.225,0.125,0.8875,0.025,0.239375,13.38,35
119092,Axis Bluechip Fund - Regular - Growth,0.53,0.0308,6.8995,0.0097,-14.4,1.64,0.125,0.25,0.275,0.0375,0.65,0.22562500000000002,11.47,36
101207,ABSL Small Cap Fund - Regular - Growth,-4.15,0.1627,10.8971,-0.0653,-35.45,1.53,0.05,0.325,0.35,0.3125,0.075,0.22062500000000002,10.77,37
119095,Axis Small Cap Fund - Regular - Growth,-11.71,-0.076,4.8016,-0.067,-51.68,1.38,0.025,0.2,0.1,0.6,0.05,0.17250000000000001,4.08,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.29,-0.2015,3.7476,-0.0583,-24.73,1.55,0.15,0.15,0.05,0.225,0.175,0.14375,0.09,39
102886,UTI Mid Cap Fund - Regular - Growth,-0.77,-0.2058,2.8969,-0.0421,-28.0,1.51,0.1,0.125,0.025,0.4125,0.15,0.143125,0.0,40
